City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Jacareacanga,BR,-6.2222,-57.7528,97.47,21,6,1.54,clear sky
133,Carnarvon,AU,-24.8667,113.6333,70.07,55,100,6.98,overcast clouds
134,Erenhot,CN,43.6475,111.9767,77.9,32,100,14.67,overcast clouds
135,Loukhi,RU,66.0764,33.0381,54.39,88,98,8.39,overcast clouds
136,Astoria,US,46.1879,-123.8313,75.47,80,40,5.75,scattered clouds
137,Peruc,CZ,50.3425,13.9599,70.09,47,75,5.26,broken clouds
138,Olinda,BR,-8.0089,-34.8553,76.73,83,0,9.22,clear sky
139,The Valley,AI,18.217,-63.0578,87.66,72,0,15.5,clear sky
140,Khatanga,RU,71.9667,102.5,59.31,69,53,5.06,broken clouds
141,Saskylakh,RU,71.9167,114.0833,61.2,82,100,6.11,light rain
142,Jablah,SY,35.3614,35.9256,81.34,57,0,1.41,clear sky
143,Gao,ML,16.6362,1.637,85.19,53,100,22.93,light rain
144,Kodiak,US,57.79,-152.4072,63.91,55,0,6.91,clear sky
145,Phan Thiet,VN,10.9333,108.1,76.89,89,10,5.88,clear sky
146,Usinsk,RU,65.9939,57.5281,61.68,60,41,12.37,scattered clouds
147,Taylorville,US,39.5489,-89.2945,84.38,74,0,0.0,clear sky
148,Port Macquarie,AU,-31.4333,152.9167,40.89,69,97,5.82,overcast clouds
149,Tomatlan,MX,19.9333,-105.25,90.61,49,53,10.85,broken clouds
150,Nikolskoye,RU,59.7035,30.7861,61.79,78,100,3.74,overcast clouds
151,Narrabri,AU,-30.3167,149.7833,42.26,85,1,5.23,clear sky
152,Mersing,MY,2.4312,103.8405,75.11,100,40,4.61,scattered clouds
153,Mahebourg,MU,-20.4081,57.7,68.29,88,75,8.05,broken clouds
154,Tubarao,BR,-28.4667,-49.0069,75.22,61,100,1.68,overcast clouds
155,Kahului,US,20.8947,-156.47,87.82,57,20,18.41,few clouds
156,Shitkino,RU,56.3703,98.3543,58.01,97,100,3.6,overcast clouds
157,Chokurdakh,RU,70.6333,147.9167,49.44,48,100,12.48,overcast clouds
158,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,75,8.05,broken clouds
