City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Pisco,PE,64.45,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
203,Muisne,EC,75.2,overcast clouds,0.6,-80.0333,Quinta Samay
204,Guaraniacu,BR,71.53,overcast clouds,-25.1008,-52.8781,Dalla´s Hotel
206,Medea,DZ,75.42,clear sky,36.2642,2.7539,Hôtel M'Sallah
208,Antipino,RU,61.09,scattered clouds,57.1068,65.7576,Деревенская Баня на дровах
209,Marawi,PH,69.1,overcast clouds,7.9986,124.2928,Derogongan Residence
214,Palmeira Das Missoes,BR,66.85,heavy intensity rain,-27.8994,-53.3136,Hotel De Carli
215,Thompson,CA,75.36,few clouds,55.7435,-97.8558,Burntwood Hotel
216,Beyneu,KZ,73.08,few clouds,45.3167,55.2,NUR
217,Kupang,ID,73.69,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
219,Ambilobe,MG,66.67,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
221,Bandarbeyla,SO,76.6,broken clouds,9.4942,50.8122,JABIR HOTEL
227,Pishin,PK,74.25,overcast clouds,30.5803,66.9961,City Hotel Pishin
230,Svetlaya,RU,63.84,overcast clouds,46.5389,138.3297,
232,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
233,Quebo,GW,76.05,broken clouds,11.3333,-14.9333,
234,Teplodar,UA,72.97,few clouds,46.5059,30.3252,
237,Zhezkazgan,KZ,70.29,few clouds,47.8043,67.7144,Hotel Zumrat
239,Prince Rupert,CA,64.49,clear sky,54.3161,-130.3201,Crest Hotel
240,Ondjiva,AO,67.08,overcast clouds,-17.0667,15.7333,COMBUESA
245,Jiuquan,CN,77.23,clear sky,39.7432,98.5174,Jiuquan Hotel
250,Ngaoundere,CM,64.36,moderate rain,7.3167,13.5833,Hotel Mentong Palace
251,Meulaboh,ID,75.61,overcast clouds,4.1363,96.1285,Kost Pria
253,Suntar,RU,65.93,clear sky,62.1444,117.6319,Гостевая квартира
257,Mitu,CO,76.98,overcast clouds,1.1983,-70.1733,
262,Charlottetown,CA,77.56,few clouds,46.2352,-63.1267,Rodd Charlottetown
263,Tateyama,JP,78.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
270,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
271,Chifeng,CN,63.59,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
272,Shetpe,KZ,74.1,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
274,Margate,GB,64.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
275,Ardesen,TR,72.23,clear sky,41.1911,40.9875,Green Suada Hotel
